# Job started on: Thu Oct  8 20:24:11 CEST 2020 ................
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:26:45 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -9.95
# etamax = 9.95
# Uncertainties from scales, masses combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass
   1.7500 5.2160e+07 3.1825e+07 7.5107e+07 3.2960e+07 7.3660e+07 4.5460e+07 6.0180e+07
   1.8500 5.2310e+07 3.1874e+07 7.5348e+07 3.3010e+07 7.3900e+07 4.5590e+07 6.0350e+07
   1.9500 5.2340e+07 3.1856e+07 7.5425e+07 3.2990e+07 7.3980e+07 4.5620e+07 6.0380e+07
   2.0500 5.2250e+07 3.1779e+07 7.5332e+07 3.2910e+07 7.3890e+07 4.5540e+07 6.0280e+07
   2.1500 5.2050e+07 3.1655e+07 7.5084e+07 3.2780e+07 7.3650e+07 4.5370e+07 6.0050e+07
   2.2500 5.1740e+07 3.1449e+07 7.4666e+07 3.2570e+07 7.3240e+07 4.5090e+07 5.9700e+07
   2.3500 5.1330e+07 3.1185e+07 7.4095e+07 3.2300e+07 7.2680e+07 4.4720e+07 5.9230e+07
   2.4500 5.0810e+07 3.0864e+07 7.3382e+07 3.1970e+07 7.1980e+07 4.4260e+07 5.8640e+07
   2.5500 5.0200e+07 3.0494e+07 7.2534e+07 3.1590e+07 7.1150e+07 4.3720e+07 5.7940e+07
   2.6500 4.9490e+07 3.0069e+07 7.1562e+07 3.1150e+07 7.0190e+07 4.3100e+07 5.7150e+07
   2.7500 4.8710e+07 2.9598e+07 7.0462e+07 3.0670e+07 6.9110e+07 4.2400e+07 5.6260e+07
   2.8500 4.7840e+07 2.9082e+07 6.9245e+07 3.0140e+07 6.7910e+07 4.1630e+07 5.5280e+07
